"EVENT_ID","BAS_LOC_RM","LOCATION","RIVMILE","BASIN","DATE","RICHNESS","RICH_SCORE","EPT_RICH","EPT_SCORE","HBI","HBI_SCORE","NCO_RICH","NCO_RICH_SCORE","FINAL_SCORE"
"0.6_WKLEI_13_8/27/2018_1","13-WKLEI-0.6","WKLEI","0.6","13","8/27/2018",17,5.45,2,3.5,6.06,6.57,9,6.82,5.58
"0.6_WKLEI_13_8/27/2018_2","13-WKLEI-0.6","WKLEI","0.6","13","8/27/2018",23,8.5,2,3.5,6.85,5.25,9,6.82,6.02
"0.6_WKLEI_13_8/27/2018_3","13-WKLEI-0.6","WKLEI","0.6","13","8/27/2018",26,10,4,6,6.94,5.1,10,7.27,7.09
"0.6_WKLEI_13_8/27/2018_4","13-WKLEI-0.6","WKLEI","0.6","13","8/27/2018",26,10,4,6,7.16,4.73,11,8,7.18
"0.7_RIOG_13_8/28/2018_1","13-RIOG-0.7","RIOG","0.7","13","8/28/2018",16,4.77,1,1.5,6.19,6.35,8,6.36,4.75
"0.7_RIOG_13_8/28/2018_2","13-RIOG-0.7","RIOG","0.7","13","8/28/2018",18,5.91,1,1.5,6.29,6.18,8,6.36,4.99
"0.7_RIOG_13_8/28/2018_3","13-RIOG-0.7","RIOG","0.7","13","8/28/2018",15,4.32,1,1.5,6.15,6.42,8,6.36,4.65
"0.7_RIOG_13_8/28/2018_4","13-RIOG-0.7","RIOG","0.7","13","8/28/2018",10,1.43,0,0,6.15,6.42,5,4.72,3.14
"0.9_QKER_13_8/28/2018_1","13-QKER-0.9","QKER","0.9","13","8/28/2018",20,6.82,2,3.5,6.57,5.72,8,6.36,5.6
"0.9_QKER_13_8/28/2018_2","13-QKER-0.9","QKER","0.9","13","8/28/2018",18,5.91,2,3.5,6.33,6.12,7,5.91,5.36
"0.9_QKER_13_8/28/2018_3","13-QKER-0.9","QKER","0.9","13","8/28/2018",18,5.91,1,1.5,6.86,5.23,6,5.45,4.52
"0.9_QKER_13_8/28/2018_4","13-QKER-0.9","QKER","0.9","13","8/28/2018",14,3.86,0,0,6.23,6.28,7,5.91,4.01
"35.6_WALK_13_8/27/2018_1","13-WALK-35.6","WALK","35.6","13","8/27/2018",8,0,0,0,6.17,6.38,4,4.17,2.64
"35.6_WALK_13_8/27/2018_2","13-WALK-35.6","WALK","35.6","13","8/27/2018",8,0,0,0,6.41,5.98,6,5.45,2.86
"35.6_WALK_13_8/27/2018_3","13-WALK-35.6","WALK","35.6","13","8/27/2018",7,0,1,1.5,7.23,4.62,4,4.17,2.57
"35.6_WALK_13_8/27/2018_4","13-WALK-35.6","WALK","35.6","13","8/27/2018",12,2.95,0,0,6.94,5.1,5,4.72,3.19
