"EVENT_ID","BAS_LOC_RM","LOCATION","RIVMILE","BASIN","DATE","RICHNESS","RICH_SCORE","EPT_RICH","EPT_SCORE","HBI","HBI_SCORE","PMA","PMA_SCORE","NBI_P","NBI_P_SCORE","FINAL_SCORE"
"0.2_GUNK_T35_13_8/27/2018_1","13-GUNK_T35-0.2","GUNK_T35","0.2","13","8/27/2018",21,5.88,2,3.06,6.92,4.47,46,4.44,7.38,1.55,3.88
"0.2_GUNK_T35_13_8/27/2018_2","13-GUNK_T35-0.2","GUNK_T35","0.2","13","8/27/2018",23,6.47,7,5.91,5.76,5.93,68,7.88,6.13,4.68,6.17
"0.2_GUNK_T35_13_8/27/2018_3","13-GUNK_T35-0.2","GUNK_T35","0.2","13","8/27/2018",27,7.78,2,3.06,7.34,3.95,45,4.27,7.15,2.12,4.24
"0.2_GUNK_T35_13_8/27/2018_4","13-GUNK_T35-0.2","GUNK_T35","0.2","13","8/27/2018",19,5.29,3,3.61,6.75,4.69,57,6.29,7.1,2.25,4.43
"0.2_MASO_13_8/27/2018_1","13-MASO-0.2","MASO","0.2","13","8/27/2018",14,3.68,7,5.91,5.35,6.44,51,5.32,7.05,2.38,4.75
"0.2_MASO_13_8/27/2018_2","13-MASO-0.2","MASO","0.2","13","8/27/2018",16,4.26,8,6.36,5.42,6.35,53,5.65,6.93,2.68,5.06
"0.2_MASO_13_8/27/2018_3","13-MASO-0.2","MASO","0.2","13","8/27/2018",23,6.47,11,8,4.93,6.96,66,7.69,6.71,3.23,6.47
"0.2_MASO_13_8/27/2018_4","13-MASO-0.2","MASO","0.2","13","8/27/2018",22,6.18,9,6.82,4.89,7.01,71,8.17,7.01,2.48,6.13
"0.4_GUNK_13_8/27/2018_1","13-GUNK-0.4","GUNK","0.4","13","8/27/2018",26,7.35,16,10,3.76,8.24,68,7.88,5.66,5.85,7.86
"0.4_GUNK_13_8/27/2018_2","13-GUNK-0.4","GUNK","0.4","13","8/27/2018",25,7.06,15,10,3.8,8.2,72,8.27,5.86,5.35,7.78
"0.4_GUNK_13_8/27/2018_3","13-GUNK-0.4","GUNK","0.4","13","8/27/2018",26,7.35,15,10,3.79,8.21,77,8.75,5.85,5.38,7.94
"0.4_GUNK_13_8/27/2018_4","13-GUNK-0.4","GUNK","0.4","13","8/27/2018",23,6.47,13,9,3.57,8.43,70,8.08,4.93,7.57,7.91
"0.4_MONH_13_8/27/2018_1","13-MONH-0.4","MONH","0.4","13","8/27/2018",17,4.56,7,5.91,5.15,6.69,59,6.61,6.43,3.93,5.54
"0.4_MONH_13_8/27/2018_2","13-MONH-0.4","MONH","0.4","13","8/27/2018",12,3.09,5,4.72,5.16,6.67,55,5.97,6.3,4.25,4.94
"0.4_MONH_13_8/27/2018_3","13-MONH-0.4","MONH","0.4","13","8/27/2018",17,4.56,7,5.91,5.17,6.66,85,9.52,6.65,3.37,6
"0.4_MONH_13_8/27/2018_4","13-MONH-0.4","MONH","0.4","13","8/27/2018",14,3.68,5,4.72,4.96,6.92,57,6.29,6.8,3,4.92
"0.4_PKIL_13_8/27/2018_1","13-PKIL-0.4","PKIL","0.4","13","8/27/2018",24,6.76,12,8.5,3.58,8.42,74,8.46,5.77,5.58,7.54
"0.4_PKIL_13_8/27/2018_2","13-PKIL-0.4","PKIL","0.4","13","8/27/2018",21,5.88,11,8,3.52,8.48,72,8.27,5.32,6.7,7.47
"0.4_PKIL_13_8/27/2018_3","13-PKIL-0.4","PKIL","0.4","13","8/27/2018",16,4.26,10,7.27,4.13,7.87,60,6.77,6.04,4.9,6.21
"0.4_PKIL_13_8/27/2018_4","13-PKIL-0.4","PKIL","0.4","13","8/27/2018",19,5.29,9,6.82,3.62,8.38,65,7.6,6.08,4.8,6.58
"0.5_TINW_13_8/27/2018_1","13-TINW-0.5","TINW","0.5","13","8/27/2018",15,3.97,3,3.61,6.1,5.5,50,5.16,7.68,0.8,3.81
"0.5_TINW_13_8/27/2018_2","13-TINW-0.5","TINW","0.5","13","8/27/2018",12,3.09,0,0,6.31,5.24,31,1.9,7.98,0.05,2.06
"0.5_TINW_13_8/27/2018_3","13-TINW-0.5","TINW","0.5","13","8/27/2018",15,3.97,2,3.06,6.1,5.5,34,2.41,7.56,1.1,3.21
